C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.466447	0.243768	-1.328998	1.308411	-0.990069	-0.547171	-0.220826	1.226463	-1.355067	1.122837	0.466375	0.249273	-1.339622	1.380396	-1.055105	-0.543673	-0.222873	1.223510	-1.401847	1.152148	-0.122714	0.006569	0.092597	0.128880	0.086283	-0.001579	0.054721	-0.093758	-0.146643	0.075116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.464542	0.244092	-1.328725	1.308787	-0.990573	-0.547603	-0.219819	1.224895	-1.355837	1.127827	0.464594	0.249232	-1.338471	1.382711	-1.052647	-0.543722	-0.222192	1.222689	-1.404669	1.152805	-0.103002	-0.014465	0.019729	0.128046	0.141234	0.006821	0.041532	-0.072189	-0.231022	0.038918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.462934	0.243569	-1.328150	1.309581	-0.992646	-0.547723	-0.219804	1.225183	-1.357866	1.132697	0.463438	0.249224	-1.337926	1.385065	-1.050943	-0.543732	-0.221612	1.221992	-1.406542	1.153760	-0.048686	-0.011915	-0.032923	0.141921	-0.006814	0.000682	0.042539	-0.094460	-0.155708	0.059726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.462150	0.243411	-1.327208	1.310572	-0.992886	-0.548123	-0.219603	1.225492	-1.359756	1.137248	0.462286	0.249215	-1.337575	1.387183	-1.050118	-0.543734	-0.221035	1.221538	-1.408613	1.154824	-0.130495	-0.016313	0.003687	0.143309	0.023746	0.000068	-0.001562	-0.012936	-0.116770	0.068786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.461844	0.243030	-1.326758	1.312691	-0.991670	-0.548283	-0.219600	1.225690	-1.361485	1.139851	0.461134	0.249196	-1.337238	1.389206	-1.049929	-0.543782	-0.220751	1.221302	-1.410651	1.156539	-0.086332	-0.009774	0.024796	0.098082	-0.049970	-0.076765	0.011476	0.005686	-0.165221	0.125526	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.460828	0.243217	-1.325673	1.313787	-0.991489	-0.548942	-0.219108	1.226007	-1.363500	1.141452	0.460323	0.249177	-1.336686	1.391404	-1.049842	-0.543768	-0.220589	1.220915	-1.412585	1.158651	0.019284	0.004839	0.075762	0.233145	-0.001507	-0.011166	-0.010485	-0.055266	-0.114232	0.110262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.460180	0.243788	-1.324997	1.314482	-0.989603	-0.549103	-0.217783	1.225137	-1.365974	1.140353	0.459845	0.249165	-1.335727	1.393371	-1.049825	-0.543813	-0.220475	1.220450	-1.414329	1.161351	-0.012030	-0.005332	0.143672	0.162900	0.010318	-0.008096	-0.009191	-0.096257	-0.102154	0.216915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.460311	0.243627	-1.324348	1.315288	-0.988965	-0.549282	-0.217529	1.224151	-1.367236	1.140204	0.459313	0.249162	-1.334348	1.395703	-1.049919	-0.543798	-0.220178	1.219363	-1.415817	1.164000	-0.025630	-0.001696	0.038795	0.169834	-0.114126	0.013149	0.022345	-0.096867	-0.107925	0.161277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.460536	0.243713	-1.323333	1.316655	-0.991560	-0.549422	-0.218358	1.223831	-1.367177	1.143616	0.458819	0.249170	-1.333297	1.397962	-1.049913	-0.543795	-0.219844	1.218201	-1.416914	1.166783	-0.061887	0.010299	0.031797	0.163548	-0.060267	0.022253	0.020846	-0.069010	-0.101523	0.197589	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.461001	0.244088	-1.322263	1.318712	-0.992665	-0.549529	-0.218779	1.224476	-1.367201	1.146949	0.458139	0.249163	-1.331414	1.400426	-1.050082	-0.543819	-0.219632	1.217144	-1.417546	1.169618	-0.062023	-0.004786	0.128806	0.128023	-0.121185	-0.039650	-0.009548	-0.073204	-0.076455	0.134917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
